SNAP vs ECD  preset=paper  ECD N_d=5  SNAP N_d=[1, 2]  trials=50  maxiter=200  workers=7
reusing ECD from paper_result/out/fig5.json  (n=50)
=== SNAP-VQE  N_d=1  params=18  trials=50  maxiter=200  workers=7 ===
[70/100] snap t37  gibbs  P*=0.0477  E=23.343  bits=0111000  nit=1
[71/100] snap t36  energy  P*=0.0004  E=-3.792  bits=0010110  nit=59
[72/100] snap t33  gibbs  P*=0.8444  E=-4.306  bits=0110000  nit=107
[73/100] snap t34  energy  P*=0.4657  E=-10.151  bits=0110000  nit=81
[74/100] snap t35  energy  P*=0.9010  E=-11.397  bits=0110000  nit=66
[75/100] snap t39  gibbs  P*=0.0168  E=37.847  bits=0111011  nit=1
[76/100] snap t38  energy  P*=0.4657  E=-10.151  bits=0110000  nit=49
[77/100] snap t38  gibbs  P*=0.9156  E=-11.328  bits=0110000  nit=46
[78/100] snap t37  energy  P*=0.9010  E=-11.397  bits=0110000  nit=50
[79/100] snap t41  gibbs  P*=0.6459  E=0.537  bits=0110000  nit=11
[80/100] snap t39  energy  P*=0.0000  E=-3.420  bits=0001001  nit=55
[81/100] snap t40  gibbs  P*=0.8900  E=-9.073  bits=0110000  nit=47
[82/100] snap t36  gibbs  P*=0.8015  E=-9.719  bits=0110000  nit=82
[83/100] snap t42  gibbs  P*=0.8423  E=-7.007  bits=0110000  nit=51
[84/100] snap t41  energy  P*=0.0004  E=-4.143  bits=0010110  nit=65
[85/100] snap t42  energy  P*=0.0121  E=-4.388  bits=0110100  nit=50
[86/100] snap t44  gibbs  P*=0.4726  E=3.568  bits=0110000  nit=6
[87/100] snap t45  gibbs  P*=0.0843  E=25.946  bits=0001000  nit=1
[88/100] snap t40  energy  P*=0.9010  E=-11.397  bits=0110000  nit=95
[89/100] snap t46  gibbs  P*=0.3754  E=11.504  bits=0110000  nit=11
[90/100] snap t44  energy  P*=0.0000  E=-4.282  bits=0010001  nit=75
[91/100] snap t43  gibbs  P*=0.8466  E=-7.297  bits=0110000  nit=100
[92/100] snap t43  energy  P*=0.0000  E=-5.496  bits=0010110  nit=100
[93/100] snap t45  energy  P*=0.4386  E=-9.931  bits=0110000  nit=48
[94/100] snap t47  energy  P*=0.4464  E=-8.240  bits=0110000  nit=63
[95/100] snap t46  energy  P*=0.0000  E=-5.054  bits=0010110  nit=85
[96/100] snap t48  gibbs  P*=0.9857  E=-11.224  bits=0110000  nit=62
[97/100] snap t47  gibbs  P*=0.9076  E=-11.187  bits=0110000  nit=91
[98/100] snap t49  energy  P*=0.9120  E=-11.419  bits=0110000  nit=69
[99/100] snap t48  energy  P*=0.7447  E=-11.073  bits=0110000  nit=75
[100/100] snap t49  gibbs  P*=0.9156  E=-11.323  bits=0110000  nit=94
  snap energy: 23/50 hit GS  best P*=0.9127  mean P*=0.3413
  snap gibbs: 40/50 hit GS  best P*=0.9857  mean P*=0.5770
  paired: Gibbs-only 19  energy-only 2  both 21  neither 8
  wall 626.6s
# SNAP vs ECD: most-likely bitstring is the knapsack optimum (0110000)

Same Fig. 5 protocol (vacuum, notebook Uniform init, BFGS).
SNAP depths 1–2 keep the parameter count at or under ECD N_d=5 (40 params).

## ECD-VQE  N_d=5  params=40  n=50
- energy: 34%  (17/50)  mean P*=0.314
- Gibbs:  84%  (42/50)  mean P*=0.617
- paired: Gibbs-only 27, energy-only 2, both 15, neither 6

## SNAP-VQE  N_d=1  params=18  n=50
- energy: 0%  (0/50)  mean P*=0.011
- Gibbs:  0%  (0/50)  mean P*=0.054
- paired: Gibbs-only 0, energy-only 0, both 0, neither 50

## SNAP-VQE  N_d=2  params=36  n=50
- energy: 46%  (23/50)  mean P*=0.341
- Gibbs:  80%  (40/50)  mean P*=0.577
- paired: Gibbs-only 19, energy-only 2, both 21, neither 8

## Same-seed ECD N_d=5 vs SNAP N_d=1
- energy: both 0, ECD-only 17, SNAP-only 0, neither 33
- Gibbs:  both 0, ECD-only 42, SNAP-only 0, neither 8

## Same-seed ECD N_d=5 vs SNAP N_d=2
- energy: both 10, ECD-only 7, SNAP-only 13, neither 20
- Gibbs:  both 35, ECD-only 7, SNAP-only 5, neither 3
Wrote paper_result/out/snap_vs_ecd.png

